metraz,rozloha,energeticka_narocnost,stav,lokalita,cena,link
125,3+kk,B,Novostavba,praha,18960000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-biskupcova/2242667084
100,3+kk,C,Ve velmi dobrém stavu,praha,18890400,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-modrany-ceskoslovenskeho-exilu/1101071692
66,2+kk,B,Ve velmi dobrém stavu,praha,8590000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-liben-davidkova/2766746188
26,1+kk,B,Ve velmi dobrém stavu,moravskoslezsky-kraj,2299000,https://www.sreality.cz/detail/prodej/byt/1+kk/ostrava-moravska-ostrava-gen-piky/464413260
69,2+kk,C,Ve velmi dobrém stavu,praha,11900000,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-jinonice-butovicka/4228080204
21,1+kk,B,Novostavba,jihomoravsky-kraj,2594000,https://www.sreality.cz/detail/prodej/byt/1+kk/javornik-javornik-/2675299660
148,4+kk,G,Po rekonstrukci,jihomoravsky-kraj,17990000,https://www.sreality.cz/detail/prodej/byt/4+kk/brno-jehnice-klestinek/2006930508
87,3+kk,G,Ve velmi dobrém stavu,kralovehradecky-kraj,4490000,https://www.sreality.cz/detail/prodej/byt/3+kk/jaromer-prazske-predmesti-na-kameni/2045973068
119,4+kk,G,Ve velmi dobrém stavu,stredocesky-kraj,12350000,https://www.sreality.cz/detail/prodej/byt/4+kk/husinec-rez-cervena-skala/1722769996
122,4+kk,G,Po rekonstrukci,praha,18980000,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-dejvice-nad-sarkou/2445808204
225,3+kk,B,Po rekonstrukci,praha,20400000,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zizkov-biskupcova/2598134348
57,2+kk,B,Novostavba,kralovehradecky-kraj,11390000,https://www.sreality.cz/detail/prodej/byt/2+kk/janske-lazne-janske-lazne-modrokamenna/2301112908
48,1+kk,C,Ve velmi dobrém stavu,praha,7130000,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-kosire-pod-klamovkou/3154117196
92,3+kk,B,Ve velmi dobrém stavu,stredocesky-kraj,7450000,https://www.sreality.cz/detail/prodej/byt/3+kk/slany-kvic-na-chmelnici/3993334348
